chembl_id,Entry,Entry_name,Status
CHEMBL203,P00533,EGFR_HUMAN,reviewed
CHEMBL2815,P04629,NTRK1_HUMAN,reviewed
CHEMBL4282,P31749,AKT1_HUMAN,reviewed
CHEMBL3024,P53350,PLK1_HUMAN,reviewed
CHEMBL1957,P08069,IGF1R_HUMAN,reviewed
CHEMBL3231,Q13464,ROCK1_HUMAN,reviewed
CHEMBL3529,Q14164,IKKE_HUMAN,reviewed
CHEMBL3476,O15111,IKKA_HUMAN,reviewed
CHEMBL5145,P15056,BRAF_HUMAN,reviewed
CHEMBL1991,O14920,IKKB_HUMAN,reviewed
CHEMBL301,P24941,CDK2_HUMAN,reviewed
CHEMBL1913,P09619,PGFRB_HUMAN,reviewed
CHEMBL1906,P04049,RAF1_HUMAN,reviewed
CHEMBL279,P35968,VGFR2_HUMAN,reviewed
CHEMBL260,Q16539,MK14_HUMAN,reviewed
CHEMBL2041,P07949,RET_HUMAN,reviewed
CHEMBL262,P49841,GSK3B_HUMAN,reviewed
CHEMBL4237,O75582,KS6A5_HUMAN,reviewed
CHEMBL4179,P45984,MK09_HUMAN,reviewed
CHEMBL258,P06239,LCK_HUMAN,reviewed
CHEMBL4128,Q02763,TIE2_HUMAN,reviewed
CHEMBL1844,P07333,CSF1R_HUMAN,reviewed
CHEMBL4439,P36897,TGFR1_HUMAN,reviewed