Gene,Species,Alias
AurA,Human,"MGC34538, BTAK, STK7, STK15, AURORA2, AURA, AIK, AurA, STK6, ARK1, AURKA"
AurB,Human,"AURKB, AIRK2(AIM1, AIM-1, AIK2, AIM1, STK12, IPL1, STK5, AurB, ARK2"
AurC,Human,"AIE2, AIK3, STK13, AurC, aurora-C, AURKC"
BUB1,Human,"BUB1A, BUB1, hBUB1, BUB1L"
BUBR1,Human,"Bub1A, BUB1B, SSK1, hBUBR1, MAD3L, BUBR1, BUB1beta"
PRPK,Human,"BUD32, PRPK, Nori-2, C20orf64, 2, dJ101A2, TP53RK, Nori-2p"
CaMKK1,Human,"MGC34095, CaMKK1, DKFZp761M0423, CAMKK1, CAMKKA"
CaMKK2,Human,"CAMKKB, MGC15254, CAMKK2, Hs.197806, CAMKK, CaMKK2, KIAA0787"
CDC7,Human,"huCDC7, CDC7L1, MGC126238, MGC126237, Hsk1, MGC117361, HsCDC7, CDC7"
Dusty,Human,"Dusty, DustyPK, RIPK5, RIP5, SgK496, KIAA0472, HDCMD38P"
Haspin,Human,"GSG2, Haspin"
IKKa,Human,"TCF16, IKK1, Hs.159147, IKK-ALPHA, CHUK, IKBKA, IKK-alpha, NFKBIKA, IKKA, IKKa"
IKKb,Human,"IKBKB, MGC131801, IKK2, FLJ40509, IKK-beta, Hs.226573, NFKBIKB, Hs.166208, IKKB, IKKb"
IKKe,Human,"IKKE, MGC125295, MGC125294, MGC125297, IKKe, KIAA0151, IKBKE, IKK-i, IKKI"
TBK1,Human,"NAK, T2K, FLJ11330, TBK1"
IRE1,Human,"IRE1, MGC163279, IRE1P, MGC163277, FLJ30999, ERN1"
IRE2,Human,"IRE2, ERN2, IRE1b"
KIS,Human,"KIS, Kist, UHMK1"
MOS,Human,"MOS, MSV, c-mos, MGC119963, MGC119962"
AAK1,Human,"KIAA1048, AAK1, MGC138170"
BIKE,Human,"DKFZp434K0614, BIKE, HRIHFB2017, BMP2K, DKFZp434P0116"
GAK,Human,"FLJ40395, MGC99654, GAK"
MPSK1,Human,"PKL12, STK16, MPSK, MPSK1, TSF1, FLJ39635, KRCT"
NEK1,Human,"NEK1, DKFZp686D06121, DKFZp686K12169, MGC138800, NY-REN-55, KIAA1901"
NEK3,Human,"HSPK36, MGC29949, NEK3"
NEK5,Human,"NEK5, MGC75495"
NEK10,Human,"FLJ32685, NEK10"
NEK11,Human,"NEK11, FLJ23495"
NEK2,Human,"NEK2, HsPK 21, HsPK_21, HsPK21, NEK2A, NLK1"
NEK4,Human,"NEK4, pp12301, STK2, MGC33171, NRK2"
NEK6,Human,"NEK6, SID6-1512"
NEK7,Human,NEK7
NEK8,Human,"MGC138445, NEK12A, NEK8, JCK"
NEK9,Human,"MGC138306, NERCC, DKFZp434D0935, Nek8, NEK9, NERCC1, MGC16714"
SBK,Human,"SBK, SBK1, Sbk"
SgK069,Human,"SgK069, LOC646643"
SgK110,Human,"SgK110, LOC646643"
PINK1,Human,"PINK1, PARK6, BRPK, FLJ27236"
SgK223,Human,"pragmin, DKFZp761P0423, SgK223"
SgK269,Human,"SgK269, FLJ21140, FLJ34483, KIAA2002"
CLIK1,Human,"STK35, CLIK1"
CLIK1L,Human,"RP11-96L14.4, CLIK1L, PDIK1L"
SgK307,Human,"SgK307, TEX14"
NRBP1,Human,"MUDPNP, FLJ35541, NRBP, MADM, FLJ27109, BCON3, NRBP1"
NRBP2,Human,"pp9320, TRG16, MGC138699, DKFZp434P086, NRBP2"
RNAseL,Human,"RNS4, MGC104972, DKFZp781D08126, RNASEL, MGC133329, RNAseL, PRCA1"
SgK196,Human,"MGC126597, SgK196, FLJ23356"
SgK396,Human,"STK31, TDRD8, SgK396, FLJ16102"
PAN3,Human,PAN3
GCN2,Human,"GCN2, KIAA1338, EIF2AK4"
HRI,Human,"EIF2AK1, HRI, KIAA1369"
PEK,Human,"PERK, EIF2AK3, DKFZp781H1925, WRS, PEK"
PKR,Human,"PKR, EIF2AK1, p68, EIF2AK2, PRKR, MGC126524"
PLK1,Human,"PLK1, STPK13, PLK"
PLK2,Human,"PLK2, SNK"
PLK3,Human,"PLK3, FNK, CNK, PRK"
PLK4,Human,"SAK, STK18, PLK4"
SCYL1,Human,"NTKL, TEIF, P105, NKTL, SCYL1, MGC78454, GKLP, TAPK, HT019, TRAP"
SCYL2,Human,"FLJ10074, KIAA1360, SCYL2, CVAK104"
SCYL3,Human,"LOC57147, PACE-1, PACE1, SCYL3, RP1-97P20.2"
SgK071,Human,"RP11-244N20.8, C9orf96, SgK071, MGC43306"
SgK493,Human,"SgK493, MGC125960, LOC91461"
Slob,Human,"PXK, MONaKA, FLJ20335, Slob"
TBCK,Human,"MGC16169, TBCK, HSPC302"
TLK1,Human,"KIAA0137, PKU-BETA, TLK1"
TLK2,Human,"Hs.57553, MGC44450, PKU-ALPHA, TLK2"
PBK,Human,"SPK, Hs.104741, LOC55872, Nori-3, FLJ14385, TOPK, LOC55886, PBK"
TTK,Human,"TTK, MPS1L1, PYT, ESK, FLJ38280"
Fused,Human,"DKFZp434N0223, Fused, STK36, KIAA1278, FU"
ULK1,Human,"FLJ38455, Unc51.1, ULK1, UNC51, ATG1"
ULK2,Human,"ULK2, KIAA0623, Unc51.2"
ULK3,Human,"FLJ90566, ULK3, DKFZP434C131"
ULK4,Human,"FAM7C1, FLJ20574, DKFZp434E1822, ULK4, REC01035"
PIK3R4,Human,"MGC102700, VPS15, PIK3R4, p150, P150"
MYT1,Human,"DKFZp547K1610, FLJ20093, PKMYT1, MYT1"
Wee1,Human,"FLJ16446, Wee1, WEE1, DKFZp686I18166, WEE1hu"
Wee1B,Human,"FLJ40852, Wee1B"
Wnk1,Human,"KIAA0344, Wnk1, PRKWNK1, WNK1, KDP, PHA2C"
Wnk2,Human,"PRKWNK2, Wnk2, KIAA1760, WNK2, NY-CO-43, P/OKcl.13, SDCCAG43"
Wnk3,Human,"Wnk3, PRKWNK3, KIAA1566, WNK3"
Wnk4,Human,"PRKWNK4, PHA2B, WNK4, Wnk4"
FAM198A,Human,FAM198A
FAM198B,Human,FAM198B
FAM20A,Human,FAM20A
FAM20B,Human,FAM20B
FAM20C,Human,FAM20C
FJB1,Human,FJB1
ANPa,Human,"ANPa, GUCY2A, NPR1, ANPRA, NPRA, GUC2A"
ANPb,Human,"ANPRB, ANPb, GUCY2B, GC-B, NPR2, NPRBi, NPRB, AMDM, GUC2B"
CYGD,Human,"GUCY2D, CYGD, retGC, ROS-GC1, LCA1, LCA, GUC2D, GUC1A4, retGC-1, CORD5, RETGC-1, retGC1, CORD6"
CYGF,Human,"ROS-GC2, GUCY2F, CYGF, GC-F, GUC2F, GUC2DL, RETGC-2"
HSER,Human,"HSER, GUCY2C, STAR, GC-C, GUC2C"
COT,Human,"ESTF, EST, COT, Tpl-2, MAP3K8, TPL2, TPL-2, FLJ10486, c-COT"
NIK,Human,"NIK, HSNIK, FTDCR1B, MAP3K14, HS"
MAP3K5,Human,"ASK1, MAPKKK5, MEKK5, NAP160, MAP3K5"
MAP3K6,Human,"MGC20114, MGC125653, MAP3K6, MAPKKK6, ASK2"
MAP3K7,Human,"bA723P2.3, FLJ16518, MAP3K7, MAP3K15"
MAP3K1,Human,"MEKK1, MEKK, MAP3K1, MAPKKK1"
MEKK15,Human,"YSK4, FLJ23074, MEKK15, RCK"
MAP3K2,Human,"MAP3K2, LOC51777, MEKK2, MEKK2B"
MAP3K3,Human,"MAP3K3, MEKK3, MAPKKK3"
MAP3K4,Human,"MTK1, MAP3K4, KIAA0213, MEKK4, FLJ42439, MAPKKK4, PRO0412"
OSR1,Human,"OSR1, OXSR1, KIAA1101"
STLK3,Human,"SPAK, STLK3, PASK, DKFZp686K05124, STK39, DCHT"
GCK,Human,"GCK, MAP4K2, RAB8IP, BL44"
HPK1,Human,"MAP4K1, Hs.86575, HPK1"
KHS1,Human,"GCKR, KHS, MAP4K5, KHS1, MAPKKKK5"
KHS2,Human,"MAPKKKK3, MAP4K3, GLK, KHS2, RAB8IPL1"
HGK,Human,"HGK, ZC1"
MINK,Human,"MINK, ZC3"
NRK,Human,"NRK, ZC4"
TNIK,Human,"TNIK, ZC2"
MST1,Human,"KRS2, DKFZp686A2068, MST1, Krs-2, STK4, YSK3"
MST2,Human,"p33QIK, STK3, KRS1, FLJ90748, MST2"
MYO3A,Human,"MYO3A, DFNB30"
MYO3B,Human,MYO3B
PAK1,Human,"MGC130000, MGC130001, PAKalpha, PAK1"
PAK2,Human,"PAK65, PAKgamma, PAK2"
PAK3,Human,"bPAK, MRX30, PAK3beta, CDKN1A, OPHN3, MRX47, hPAK3, PAK3"
PAK4,Human,PAK4
PAK5,Human,"MGC26232, PAK5, PAK7, KIAA1264"
PAK6,Human,"PAK5, PAK6"
LOK,Human,"LOK, STK10, PRO2729"
SLK,Human,"MGC133067, STK2, KIAA0204, SLK, bA16H23.1, se20-9"
STLK5,Human,"STRAD, FLJ90524, LYK5, STLK5"
STLK6,Human,"CALS-21, MGC102916, PAPK, STLK6, ILPIPA, PRO1038, ILPIP, ALS2CR2"
TAO1,Human,"KIAA1361, FLJ14314, TAOK1, MARKK, PSK2, MAP3K16, TAO1"
TAO2,Human,"PSK, KIAA0881, TAO2, MAP3K17, PSK1, TAO1, TAOK2"
TAO3,Human,"DKFZp666H245, JIK, FLJ31808, MAP3K18, TAO3, DPK, TAOK3"
MST3,Human,"MST-3, STK3, STK24, MST3B, MST3"
MST4,Human,"MST4, MASK, LOC51765, RP6-213H19.1"
YSK1,Human,"DKFZp686J1430, STK25, YSK1, SOK1"
MAP2K1,Human,"PRKMK1, MKK1, MAP2K1, MAPKK1, MEK1"
MAP2K2,Human,"MAPKK2, MAP2K2, MKK2, PRKMK2, MEK2"
MAP2K3,Human,"MAP2K3, MEK3, PRKMK3, MKK3, MAPKK3"
MAP2K6,Human,"MAP2K6, PRKMK6, SAPKK3, MAPKK6, MEK6, MKK6"
MAP2K4,Human,"SEK1, MAP2K4, PRKMK4, MAPKK4, MEK4, JNKK1, MKK4, JNKK, SERK1"
MAP2K5,Human,"HsT17454, PRKMK5, MEK5, MAP2K5, MAPKK5"
MAP2K7,Human,"PRKMK7, MAP2K7, MAPKK7, JNKK2, Jnkk2, MKK7"
ALK,Human,"CD246, ALK, TFG/ALK"
LTK,Human,"LTK, TYK1"
ABL1,Human,"v-abl, c-ABL, JTK7, ABL, p150, ABL1, c-ab1"
ABL2,Human,"ABL2, ABLL, ARG"
ACK,Human,"TNK2, ACK, FLJ44758, ACK1, FLJ45547, p21cdc42Hs"
TNK1,Human,"TNK1, MGC46193"
AXL,Human,"Ark, AXL, UFO"
MER,Human,"C-MER, MER, MGC133349, MERTK, mer, c-mer"
TYRO3,Human,"DTK, RSE, Brt, SKY, BYK, TIF, Tif, TYRO3"
CCK4,Human,"PTK7, CCK4"
CSK,Human,"MGC117393, CSK, CYL"
CTK,Human,"HYLTK, MGC2101, CHK, HYL, Lsk, DKFZp434N1212, MGC1708, MATK, HHYLTK, CTK"
DDR1,Human,"PTK3, EDDR1, NTRK4, DDR, DDR1, trkE, CD167, CAK, RTK6, PTK3A, TRKE, MCK10, NEP"
DDR2,Human,"DDR2, TKT, NTRKR3, TYRO10, MIG20a"
EGFR,Human,"ERBB, ERBB1, EGFR, mENA, EGFRvIII"
ErbB2,Human,"ErbB2, ERBB2, Hs.103992, NGL, c-erbB2, TKR1, HER-2, Hs.323910, c-erb B2, c-erbB-2, HER2, NEU, HER-2/neu"
ErbB3,Human,"ErbB3, MDA-BF-1, p180-ErbB3, Hs.199067, ERBB3, erbB3-S, c-erbB3, p85-sErbB3, p45-sErbB3, Hs.167387, Hs.167386, HER3, c-erbB-3, ErbB-3, MGC88033"
ErbB4,Human,"p180erbB4, MGC138404, ERBB4, ErbB4, HER4"
EphA1,Human,"MGC163163, EphA1, EPHA1, EPHT, EPHT1, EPH"
EphA10,Human,"MGC43817, FLJ33655, EPHA10, FLJ16103, EphA10"
EphA2,Human,"ECK, EphA2, EPHA2"
EphA3,Human,"HEK4, EPHA3, EphA3, ETK, TYRO4, ETK1, HEK"
EphA4,Human,"HEK8, SEK, EphA4, TYRO1, EPHA4"
EphA5,Human,"Hs.31092, HEK7, EphA5, Hs.194771, TYRO4, EHK1, EPHA5, CEK7"
EphA6,Human,"EPA6, DKFZp434C1418, EphA6, EPHA6, FLJ35246, PRO57066"
EphA7,Human,"EphA7, EPHA7, HEK11, EHK3"
EphA8,Human,"EPHA8, HEK3, KIAA1459, EEK, EphA8"
EphB1,Human,"ELK, EphB1, Hek6, HEK6, FLJ37986, EPHB1, EPHT2, NET"
EphB2,Human,"EphB2, EPHB2, Hek5, MGC87492, DRT, PCBC, EPHT3, Tyro5, ERK, CAPB, HEK5"
EphB3,Human,"ETK2, EphB3, HEK2, TYRO6, EPHB3"
EphB4,Human,"EPHB4, HTK, TYRO11, MYK1, EphB4"
EphB6,Human,"HEP, EPHB6, EphB6, MGC129910, MGC129911"
FAK,Human,"FAK1, pp125FAK, FADK, FAK, PTK2, FAKpp125"
PYK2,Human,"FAK2, FADK2, PTK, PYK2, CAK_beta, CADTK, PKB, PTK2B, RAFTK, CAKB"
FGFR1,Human,"HBGFR, H4, H2, C-FGR, CEK, FLJ14326, H5, N-SAM, KAL2, BFGFR, H3, FGFBR, CD331, LOC51033, FLT2, FLG, FGFR1"
FGFR2,Human,"BEK, K-SAM, ECT1, KGFR, JWS, TK14, CFD1, TK25, CEK3, FGFR2, CD332, BFR-1"
FGFR3,Human,"CEK2, ACH, JTK4, CD333, FGFR3, HSFGFR3EX"
FGFR4,Human,"TKF, JTK2, FGFR4, CD334, MGC20292"
FER,Human,"NCP94, TYK3, FER"
FES,Human,"FES, FPS"
IGF1R,Human,"MGC142172, IGF1R, MGC142170, IGFIR, CD221, MGC18216, JTK13"
INSR,Human,"INSR, HHF5, CD220"
IRR,Human,"IRR, INSRR"
JAK1,Human,"JAK1A, JAK1B, JAK1"
JAK2,Human,JAK2
JAK3,Human,"JAKL, LJAK, JAK3, L-JAK, JAK-3, JAK3_HUMAN"
TYK2,Human,"TYK2, JTK1"
LMR1,Human,"KIAA0641, AATYK, LMTK1, LMR1, AATK"
LMR2,Human,"BREK, LMTK2, AATYK2, LMR2, KIAA1079, KPI2, cprk, KPI-2"
LMR3,Human,"LMTK3, TYKLM3, LMR3, KIAA1883"
MET,Human,"MET, C-MET, RCCP2, HGFR"
RON,Human,"CDw136, PTK8, MST1R, RON"
MUSK,Human,"MUSK, MGC126323, MGC126324"
FLT3,Human,"STK1, CD135, FLT3, FLK2"
FMS,Human,"FIM2, CD115, CSF1R, FMS, CSFR, C-FMS, CSF-1R"
KIT,Human,"PBT, CD117, C-Kit, SCFR, KIT"
PDGFRa,Human,"PDGFRa, CD140A, PDGFRA, PDGFR2, MGC74795, Rhe-PDGFRA"
PDGFRb,Human,"PDGFR, PDGFRb, PDGFRB, CD140B, PDGFR1, PDGF-R-beta, JTK12"
RET,Human,"RET51, CDHF12, HSCR1, PTC, Hs.168114, RET, RET-ELE1, MEN2B, Hs.RET, MTC1, MEN2A"
ROR1,Human,"MGC99659, NTRKR1, ROR1, dJ537F10.1"
ROR2,Human,"NTRKR2, BDB1, ROR2, MGC163394, BDB"
RYK,Human,"JTK5A, RYK1, RYK, JTK5, D3S3195"
ROS,Human,"MCF3, ROS, ROS1"
FRK,Human,"FRK, GTK, PTK5, RAK"
BRK,Human,"FLJ42088, BRK, PTK6"
SRM,Human,"C20orf148, SRMS, dJ697K14.1, SRM"
FGR,Human,"FLJ43153, FGR, SRC2, MGC75096, p55c-fgr, p58c-fgr, c-fgr, c-src2"
FYN,Human,"FYN, SYN, MGC45350, SLK"
SRC,Human,"p60-Src, SRC, SRC1, ASV, c-SRC"
YES,Human,"HsT441, c-yes, C-YES, Yes, YES, P61-YES, YES1"
BLK,Human,"MGC10442, BLK"
HCK,Human,"HCK, p59hck, p56hck, JTK9"
LCK,Human,"pp58lck, LCK, YT16, p56lck"
LYN,Human,"LYN, JTK8, FLJ26625"
SYK,Human,SYK
ZAP70,Human,"STD, SRK, TZK, ZAP70, ZAP-70"
SuRTK106,Human,"DKFZp761P1010, DKFZP761P1010, NOK, SuRTK106, STYK1"
BMX,Human,"ETK, BMX, PSCTK2, PSCTK3"
BTK,Human,"AGMX1, IMD1, PSCTK1, BPK, ATK, XLA, MGC126261, MGC126262, AT, BTK"
ITK,Human,"MGC126258, ITK, PSCTK2, MGC126257, EMT, LYK"
TEC,Human,"MGC126760, MGC126762, TEC, PSCTK4"
TXK,Human,"TXK, PTK4, RLK, TKL, PSCTK5, MGC22473, BTKL"
TIE1,Human,"JTK14, TIE, TIE1"
TIE2,Human,"VMCM1, TEK, HPK-6, VMCM, TIE2, CD202B, TIE-2"
TRKA,Human,"TRK, TRK1, TRKA, NTRK1, TRK-A, p140-TrkA, DKFZp781I14186, MTC"
TRKB,Human,"GP145-TrkB, TRKB, NTRK2"
TRKC,Human,"TRKC, gp145(trkC), NTRK3"
FLT1,Human,"VEGFR1, VEGFR-1, FLT-1, FLT, FLT1"
FLT4,Human,"FLT4, VEGFR3, FLT41, PCL"
KDR,Human,"FLK1, VEGFR, FLK-1, Hs.12337, VEGFR2, VEGFR-2, Hs.KDR, CD309, KDR"
IRAK1,Human,"IRAK, IRAK1, pelle"
IRAK2,Human,"IRAK2, IRAK-2, MGC150550"
IRAK3,Human,"IRAK3, IRAK-M"
IRAK4,Human,"REN64, NY-REN-64, LOC51135, IRAK4"
LIMK1,Human,"LIMK, LIMK1"
LIMK2,Human,"LIMK2, PLCB3NP"
TESK1,Human,TESK1
TESK2,Human,TESK2
LRRK1,Human,"FLJ23119, LRRK1, Roco1, FLJ27465, RIPK6, KIAA1790"
LRRK2,Human,"ROCO2, RIPK7, PARK8, LRRK2"
HH498,Human,"HH498, MGC33828, MGC142099, CARK, TNNI3K, LOC51086"
ILK,Human,"DKFZp686F1765, ILK-1, ILK, P59"
DLK,Human,"DLK, Hs.ZPK, Hs.3063, ZPK, MAP3K12, ZPKP1, MUK"
LZK,Human,"LZK, MAP3K13, MGC133196"
MLK1,Human,"MAP3K9, PRKE1, MLK1"
MLK2,Human,"MLK2, MAP3K10, MST"
MLK3,Human,"PTK1, MGC17114, MLK3, MLK-3, MAP3K11, SPRK"
MLK4,Human,"KIAA1804, dJ862P8.3, RP5-862P8.2, MLK4"
TAK1,Human,"TGF1a, TAK1, MAP3K7"
ZAK,Human,"MLTK, LOC51784, ZAK, mlklak, MLK7, LOC51776, AZK, MLT, MRK"
KSR1,Human,"RSU2, KSR1, KSR"
KSR2,Human,"KSR2, FLJ25965"
ARAF,Human,"PKS2, RAFA1, A-RAF, ARAF, ARAF1"
BRAF,Human,"RAFB1, BRAF1, B-raf 1, MGC138284, BRAF, MGC126806"
RAF1,Human,"Raf-1, c-Raf, RAF1, CRAF"
ANKRD3,Human,"DIK, ANKRD3, RIPK4, RIP4, PKK, ANKK2, MGC129992, MGC129993"
RIPK1,Human,"RIPK1, FLJ39204, RIP"
RIPK2,Human,"GIG30, CARDIAK, RIP2, RIPK2, RICK, CCK, CARD3"
RIPK3,Human,"RIP3, RIPK3"
SgK288,Human,"PKK2, ANKK1, SgK288"
ALK1,Human,"ACVRLK1, HHT, ORW2, ALK-1, ALK1, ACVRL1, HHT2, SKR3, TSR-I"
ALK2,Human,"ACVR1, ACTRI, ACVRLK2, ALK2, FOP, SKR1"
ALK4,Human,"ALK4, ACVR1B, SKR2, ACVRLK4, ACTRIB"
ALK7,Human,"ALK7, ACVRLK7, ACVR1C"
BMPR1A,Human,"CD292, BMPR1A, ALK3, ACVRLK3"
BMPR1B,Human,"ALK6, CDw293, BMPR1B, ALK-6"
TGFbR1,Human,"TGFbR1, TGF_beta_RI, AAT5, TbetaR-I, TGFBR1, ACVRLK4, ALK-5, ALK5, TGFR-1, SKR4"
ACTR2,Human,"ACVR2A, ACTR2, ACTRII, ACVR2"
ACTR2B,Human,"ACVR2B, hActR-IIB, ACTR2B, Hs.23994, ACTR-IIB, MGC116908"
BMPR2,Human,"T-ALK, BMPR-II, PPH1, BRK-3, BMR2, BMPRII, BMPR2, BMPR3"
MISR2,Human,"AMHR, MISRII, AMHR2, MISR2"
TGFbR2,Human,"TAAD2, TGFbR2, HNPCC6, MFS2, TbetaR-II, TGFBR2, TGFR-2, TGFbeta-RII, TbetaRII, RIIC, AAT3, TGF_beta_RII, FAA3"
MLKL,Human,"FLJ34389, MLKL"